Down with fever will not be working today, 1
Son is not well so will be not working, 1
Having headache and need some rest, 1
I have some emergency work I have to go now, 1
I couldnt continue my day today as I have to go to bank, 1
I have some important personal meeting will meet you tomorrow , 1
My parents have come here so I have to be with them I will see you tomorrow, 1
Doctor advised me take rest so I have to do the same I will start work after my health improves, 1
Throat infection couldnt talk so will resume work after thoart clears, 1
I am leaving now will see you day after tomorrow, 0
I am not well today I am Sick, 1
I have a dentist appointment and I cannot make it today, 1
I don’t think I’ll be able to make it to office today because my little child is very sick, 1
I need to take my father/mother to their doctor’s appointment so not coming to office today, 1
One of my relative is passed away and I have to go and I cant come to the office, 1
Stuck in office and I cant attend the meeting, 1
Some wood work is going at home and I cant make it today, 1
There is no water at home and I cant make it to the office, 1
Some paper work I have to do today and will try to login from home, 0
There is no internet due to rain Will start my work if it resumes, 1
Daycare is closed and I have to look after my kid will login tomorrow, 1
We have a family function on next week so I am off for a week, 1
I have to attend the conference meet on Feb 20th so I will not work, 1
I had a knee injury I don’t think I will be able to come on today, 1
Something urgent has come up Actually I have to leave immediately out of townSo give me excuse for one day, 1
I have to visit my child's school so need a day off, 1
Got back very late last night as I ma out of town and didn’t manage to come back early I need a rest today, 1
My train got late and I just reached homeCan you won’t mind giving a day off, 1
I need to take my brother to the hospital and can’t leave him until he is treatedCan I please?, 1
Just missed a bus or a train! And now I need to wait for one hour Either I can take a leave or reach late in office, 1
I have to go for a blood donation on Feb 29th so Can I have a off on that day?, 1
Relative has come to our house and I have to take them out for some personal work I will come tomorrow, 1
My sister is blessed with a baby boy and I have to be therePlease manage the situation I will be back after a day, 1
my son’s annual sports day and prize distribution ceremony is timed exactly at the off time of our office So I cannot make it on time, 0
I am in Adhar card office and in the queue waiting for my turn due to process of getting new card I will be back in another three hours, 0
I had applied for the renewal of the passport and just now I had received their call to collect the passportPlease allow me to go, 1
As I am going for a trip and my leave starts from today, 1
I am not well and I am not working today, 1
Taking off today, 1
I am unable to come to office today because of unpredictable weather, 1
As I have to take my mother for her monthly checkup to hospital and I am not sure how much time it will take Kindly allow me the leave, 1
I have to attend the Annual Parents Teachers Meeting of my elder son I need a short leave for 2 hours on account of this today I will come to office at 11 am instead of 9 am, 0
I just wanted to let you know that I am not felling well and I cannot come to office I want to take off for today, 1
I am shifting from the flat to the house today So it would not be feasible for me to come to office today, 1
I am in need of an urgent short leave because my presence is urgently needed at the time of the admission of my son, 1
My mother is in the hospital she is needing bloodPlease free me for that time period Much thanks, 1
my wife’s uncle died todaygrant me leave to make it possible for me to join the funeral procession, 1
my wife’s uncle died today grant me to make it possible for me to join the funeral procession, 1
I had eaten raw cooked food yesterday and now I am suffering from food poisoning Kindly grant me the leave so that I can check myself from the doctor, 1
I had eaten raw cooked food yesterday and now I am suffering from food poisoning Give me one day time I can check myself from the doctor, 1
my mother is sick and feeling nausea She is not feeling well so retire me from my work for the first half as I would be with her at the hospital, 1
I want a half leave from my work today as I need to open new account in the nearby Bank, 1
I would not be available for the meeting today in office, 0
I feel very nauseating It seems that I need rest for one day, 1
my sister has fell down from stairs in school and sustained some injuries Therefore I won’t be able to come today, 1
